Lietas ID (caseID),Tiesas ID (courtID),Tiesa,Dzimšanas datums,Ienākšanas kārtība,Ienākšanas datums,Izskatīšanas datums,Būtība,Prasījuma apmērs,atb_fiz,atb_jur,pras_fiz,pras_jur,Nozīmētās sēdes,Notikušās sēdes,naudaS_sods,dzivo_arzemes,atbr_no_nodevas
213477,40,Valkas rajona tiesa,060159,Pirmo reizi,6/5/2003,1/23/2017,parāda piedziņa,0.00,0,1,0,1,3,0,0,1,0
448971,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,050767,Pirmo reizi,11/29/2005,4/6/2017,zaudējumu piedziņa,0.00,1,0,1,0,9,1,0,0,1
477470,279,Rīgas pilsētas Pārdaugavas tiesa,010551,Sakarā ar tiesu apvienošanu,1/31/2017,10/2/2017,parāda piedziņa,21414.34,2,0,1,0,5,3,0,0,0
575613,27,Liepājas tiesa,030463,Pirmo reizi,6/4/2007,10/26/2017,zaudējumu piedziņa,916.25,6,0,2,0,4,0,0,0,0
580131,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,250174,Pēc piekritības no citas tiesas,10/7/2015,11/13/2017,parāda piedziņa,1588192.95,4,0,1,0,8,1,0,0,0
614723,279,Rīgas pilsētas Pārdaugavas tiesa,110274,Sakarā ar tiesu apvienošanu,1/31/2017,6/19/2017,parāda piedziņa,0.00,0,1,0,1,1,0,0,0,0
619189,25,Rīgas pilsētas Kurzemes rajona tiesa,010551,Pirmo reizi,10/26/2007,1/3/2017,zaudējumu piedziņa,0.00,0,2,0,1,5,0,0,0,0
623711,25,Rīgas pilsētas Kurzemes rajona tiesa,181271,Pirmo reizi,11/9/2007,1/12/2017,parāda piedziņa,0.00,0,1,0,1,4,1,0,0,0
628048,30,Valmieras rajona tiesa,071058,Pirmo reizi,11/26/2007,11/16/2017,par rokas naudas piedziņu,20.00,0,1,0,1,4,0,0,1,0
686457,279,Rīgas pilsētas Pārdaugavas tiesa,260765,Sakarā ar tiesu apvienošanu,1/31/2017,2/21/2017,parāda piedziņa,0.00,0,1,1,0,1,0,0,0,0
687481,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,050856,Pirmo reizi,5/16/2008,3/29/2017,zaudējumu piedziņa,177.21,0,1,1,0,3,10,0,0,0
707297,4,Bauskas rajona tiesa,221265,Pirmo reizi,7/3/2008,3/2/2017,parāda piedziņa,60030.71,0,1,1,1,3,0,0,0,0
753938,279,Rīgas pilsētas Pārdaugavas tiesa,110274,Sakarā ar tiesu apvienošanu,1/31/2017,12/18/2017,parāda piedziņa,0.00,0,1,0,1,1,0,0,0,0
776387,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290568,Pirmo reizi,11/5/2008,3/14/2017,zaudējumu piedziņa,72328.21,0,1,0,2,14,0,0,0,0
781658,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,2269.75,0,1,0,1,2,0,0,0,0
781661,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,479.74,0,1,1,0,2,0,0,0,0
781665,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,2594.64,0,1,1,0,2,0,0,0,0
781672,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/14/2008,3/2/2017,parāda piedziņa,1593.19,0,1,0,1,2,0,0,0,0
787273,4,Bauskas rajona tiesa,221265,Pirmo reizi,11/27/2008,3/2/2017,parāda piedziņa,3047.03,0,1,0,1,2,0,0,0,0
789216,4,Bauskas rajona tiesa,221265,Pirmo reizi,12/1/2008,3/2/2017,parāda piedziņa,1604.02,0,1,1,0,2,0,0,0,0
794535,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,090467,Pirmo reizi,12/10/2008,1/23/2017,par parāda piedziņu,11993.31,0,1,1,0,3,0,0,0,0
798256,4,Bauskas rajona tiesa,230773,Pirmo reizi,12/17/2008,3/14/2017,parāda piedziņa,359.62,0,1,0,1,2,0,0,0,0
801470,25,Rīgas pilsētas Kurzemes rajona tiesa,181271,Pirmo reizi,12/23/2008,1/13/2017,"parāda piedziņa, prasības nodrošinājums",0.00,0,1,0,1,7,2,0,0,0
820967,5,Cēsu rajona tiesa,090763,Pirmo reizi,1/29/2009,1/27/2017,"par mantisko tiesību atzīšanu par spēkā neesošu, naudas līdzekļu piedziņu",0.00,0,1,0,1,3,0,0,0,0
830326,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,271273,Pirmo reizi,2/12/2009,12/11/2017,par parāda piedziņu,75335.33,1,0,0,1,6,1,0,1,0
839445,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,030180,Pēc piekritības no citas tiesas,1/15/2016,2/28/2017,aizdevuma parāda piedziņa  aizdevuma procentu piedziņa  līgumsoda piedziņa  prasības nodrošināšana,2272383.72,0,2,1,0,1,0,0,1,0
849393,25,Rīgas pilsētas Kurzemes rajona tiesa,010551,Pirmo reizi,3/12/2009,1/2/2017,"parāda piedziņa, prasības nodrošinājums",5880.01,0,1,0,1,2,0,0,0,0
851304,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,290568,Pirmo reizi,3/17/2009,6/13/2017,"līguma laušana, parāda piedziņa, prasības nodrošināšana",5210.32,1,1,0,1,7,4,0,1,0
860335,29,Rīgas rajona tiesa,300962,Pirmo reizi,3/30/2009,4/10/2017,zaudējumu piedziņa,605.95,0,1,1,0,4,0,0,0,0
868693,34,Rīgas pilsētas Ziemeļu rajona tiesa,050479,Pirmo reizi,4/9/2009,3/6/2017,"zemes nomas līguma noslēgšana, parāda piedziņa, prasības nodrošināšana",0.00,1,0,1,0,14,0,1,0,0
878226,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,220971,Pirmo reizi,4/24/2009,4/6/2017,par aizdevuma un līgumsoda piedziņu,137310.00,1,0,0,1,5,1,0,0,0
895015,273,Rīgas rajona tiesa Jūrmalas tiesu nams,160383,Pēc piekritības no citas tiesas,9/23/2016,6/22/2017,"nomas maksas un soda naudas  piedziņa,  prasības nodrošinājums",1.00,2,2,1,0,5,1,0,0,0
